reportDate,slaName,regionName,supportDesk,groupName,contactType,m-SlaTime,m-SlaStage
09-22-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1618,1
09-22-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,448,1
09-22-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,403,1
09-22-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2334,1
09-24-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2625,1
09-15-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,945,1
09-29-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1050,1
09-15-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6738,1
09-29-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3412,1
09-30-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,682,1
10-01-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,7046,1
10-02-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3677,1
10-03-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,213397,0
10-06-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3357,1
10-06-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1204,1
09-28-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1335,1
08-26-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,9479,1
11-24-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1921,1
08-18-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1453,1
08-20-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1449,1
08-21-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1624,1
08-21-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3810,1
08-24-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4116,1
09-18-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2837,1
08-26-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,286,1
10-13-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2144,1
08-26-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,8992,1
08-28-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,936,1
09-02-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,677,1
09-03-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3145,1
09-11-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6597,1
09-15-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6713,1
09-15-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5921,1
08-24-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,9899,1
11-20-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2439,1
11-10-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4288,1
11-10-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,9197,1
11-11-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5139,1
11-11-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5160,1
11-11-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,7775,1
11-14-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,495,1
10-07-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,710,1
11-17-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,7863,1
11-06-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,895,1
11-21-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,11034,1
11-22-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3342,1
11-23-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1917,1
11-17-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,147,1
11-18-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,337,1
11-20-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3517,1
11-24-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3312,1
11-16-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3511,1
10-30-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5563,1
08-07-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1754,1
10-15-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1506,1
10-17-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2061,1
10-20-2014 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,596,1
